restriction_id,from_lat,from_lon,to_lat,to_lon,speed_limit_kmph,route,direction,description 
436,19.69288,73.57284,19.69462,73.56015,15,JL-PNVL,UP,mmr-igp
437,19.70084,73.52024,19.70125,73.51181,30,JL-PNVL,UP,igp-ksra
438,19.67947,73.4918,19.67458,73.48629,30,JL-PNVL,UP,igp-ksra
439,19.66386,73.48086,19.65741,73.481,35,JL-PNVL,UP,igp-ksra
440,19.65186,73.47425,19.64989,73.47362,25,JL-PNVL,UP,igp-ksra
441,19.64989,73.47362,19.6380319,73.4686661,75,JL-PNVL,UP,igp-ksra
442,19.64062,73.46943,19.635355,73.4663791,75,JL-PNVL,UP,ksra-kyn
443,19.60852,73.40441,19.5990991,73.3995623,100,JL-PNVL,UP,ksra-kyn
444,19.58285,73.39632,19.577882,73.3826266,80,JL-PNVL,UP,ksra-kyn
445,19.5089756,73.3271064,19.5035923,73.3282641,80,JL-PNVL,UP,ksra-kyn
446,19.48471,73.31738,19.47784228,73.31220072,85,JL-PNVL,UP,ksra-kyn
447,19.47625,73.30926,19.477642,73.3121942,100,JL-PNVL,UP,ksra-kyn
448,19.40914,73.27291,19.4044105,73.2645939,75,JL-PNVL,UP,ksra-kyn
449,19.35604,73.21705,19.348463,73.2125803,85,JL-PNVL,UP,ksra-kyn
450,19.3002,73.20534,19.29036,73.2015928,90,JL-PNVL,UP,ksra-kyn
451,19.28779,73.20026,19.2821194,73.1921491,85,JL-PNVL,UP,ksra-kyn
452,19.23975,73.14529,19.2385876,73.1400029,60,JL-PNVL,UP,ksra-kyn
453,19.194036,73.054787,19.187778,73.058046,20,JL-PNVL,UP,dcc-dtvl
454,19.186547,73.060481,19.18050621,73.06673688,100,JL-PNVL,UP,dw-roha
455,19.173476,73.072862,19.16447,73.07714,95,JL-PNVL,UP,dw-roha
456,19.147775,73.083169,19.13676838,73.08266356,80,JL-PNVL,UP,dw-roha
457,19.14297,73.082884,19.13618439,73.08262453,95,JL-PNVL,UP,dw-roha
